2	header
addCalculation 2.0.3-2255-gc74ffae8	-l exp_depth/nm,exp_load/mN -f #depth/nm#-1.850671,#load/mN#-0.003249 loadDisp_c1r1_ht.txt
time/s	depth/nm	load/mN	exp_depth/nm	exp_load/mN
6.299663	232.248878	3.702673	230.39820699999999	3.699424
6.359207	234.499939	3.738295	232.649268	3.735046
6.417112	237.299305	3.773139	235.448634	3.76989
6.474924	237.886195	3.807910	236.03552399999998	3.8046610000000003
6.525983	238.811889	3.839930	236.961218	3.836681
6.582594	239.900266	3.872723	238.04959499999998	3.8694740000000003
6.639271	241.212441	3.906794	239.36177	3.9035450000000003
6.698946	244.031183	3.941982	242.180512	3.938733
6.753381	245.366331	3.976388	243.51566	3.973139
6.810135	247.630738	4.009199	245.780067	4.0059499999999995
6.867076	248.870437	4.044131	247.019766	4.040882
6.921236	249.726490	4.076810	247.875819	4.073561
6.974381	251.589746	4.109104	249.73907499999999	4.105855
7.028589	252.971366	4.141603	251.12069499999998	4.138354
7.084522	255.713262	4.173503	253.86259099999998	4.170254
7.145436	258.934414	4.209340	257.083743	4.206091
7.204124	261.653081	4.245110	259.80241	4.241861
7.260152	263.357372	4.279721	261.506701	4.276472
7.314496	264.330437	4.312330	262.47976600000004	4.309081
7.371400	264.765965	4.347262	262.915294	4.3440129999999995
7.425057	267.348975	4.378870	265.498304	4.375621
7.485225	268.010332	4.413693	266.159661	4.410444
7.540758	270.661782	4.448299	268.81111100000004	4.445049999999999
7.597417	272.746780	4.481645	270.896109	4.478396
7.656221	274.642164	4.516684	272.791493	4.513434999999999
7.710757	276.338470	4.550853	274.487799	4.547604
7.764769	277.177434	4.582735	275.326763	4.579485999999999
7.820859	279.054084	4.615761	277.203413	4.612512
7.880058	281.010232	4.650524	279.159561	4.647275
7.934951	282.577077	4.685211	280.726406	4.6819619999999995
7.991546	285.071199	4.718222	283.220528	4.714973
8.050297	286.412665	4.753138	284.561994	4.749889
8.108038	287.820349	4.787751	285.96967800000004	4.784502
8.167440	289.327106	4.823386	287.47643500000004	4.820137
8.226538	289.973105	4.858679	288.122434	4.85543
8.286638	291.654341	4.894899	289.80367	4.891649999999999
8.345087	293.558283	4.930055	291.70761200000004	4.926806
8.404076	295.879521	4.965313	294.02885000000003	4.962064
